source_id	title	edition	on_machine_path	format	region	status	extraction_quality	license_class	serving_flag	rationale	cited_by
nelson-jqt-1984	L. S. Nelson, The Shewhart Control Chart — Tests for Special Causes, Journal of Quality Technology 16(4)	1984	/Users/sid/Documents/Upskill/SixSigma/The-Shewhart-Control-Chart-Tests-for-Special-Causes-Lloyd-Nelson-Journal-of-Quality-Technology.pdf	pdf	whole-document	cited	clean	paywalled-journal	paraphrase-and-point	Tier 2 default for paywalled primary literature. May be the JQT primary rather than a reproduction, which would upgrade the SPC log's UNVERIFIED flag on RULE 15 — re-verification is deliberately out of scope for #282.	apps/spc/docs/ASSUMPTIONS_LOG.md
nelson-rules-repro	Nelson Rules (pdfcoffee reproduction)	unknown	/Users/sid/Documents/Upskill/SixSigma/pdfcoffee.com_nelson-rules-pdf-free.pdf	pdf	whole-document	cited	clean	third-party-reproduction	never-ship	Excluded — third-party scrape of a paywalled primary we already hold separately (nelson-jqt-1984); a locator pointing at page N of a scraped PDF is a bad citation.	apps/spc/docs/ASSUMPTIONS_LOG.md
western-electric-1956	Western Electric Statistical Quality Control Handbook	1st Edition (1956)	/Users/sid/Documents/Upskill/SixSigma/Western_Electric_SQC_Handbook.pdf	pdf	whole-document	cited	not-extracted	licensed-commercial	paraphrase-and-point	Tier 2 licensed handbook. May be the 1956 primary rather than a reproduction, which would upgrade the SPC log's UNVERIFIED flag on RULE 15 — re-verification is deliberately out of scope for #282.	apps/spc/docs/ASSUMPTIONS_LOG.md
montgomery-isqc-8	D. C. Montgomery, Introduction to Statistical Quality Control	8th Edition	/Users/sid/Documents/Upskill/SixSigma/Introduction to Statistical Quality Control 8th Edition Textbook.pdf	pdf	whole-document	cited	not-extracted	licensed-commercial	paraphrase-and-point	Tier 2 commercial textbook — no redistribution licence; app logs already label it a secondary source, so RAG answers must paraphrase and point at chapter/table numbers only.	apps/spc/docs/ASSUMPTIONS_LOG.md,apps/controlplan/docs/ASSUMPTIONS_LOG.md
asq-cssgb-handbook	ASQ Certified Six Sigma Green Belt Handbook	unknown	/Users/sid/Documents/Upskill/SixSigma/ASQ_six_sigma_green_belt_handb.pdf	pdf	whole-document	not-yet-cited	clean	licensed-commercial	paraphrase-and-point	Tier 2 commercial training handbook — gathered but not yet cited by any app log.	none
cssc-lssgb-2018	CSSC Lean Six Sigma Green Belt Certification Training Manual	2018-06b	/Users/sid/Documents/Upskill/SixSigma/Lean-Six-Sigma-Green-Belt-Certification-Training-Manual-CSSC-2018-06b.pdf	pdf	whole-document	not-yet-cited	clean	licensed-commercial	paraphrase-and-point	Tier 2 commercial training manual — gathered but not yet cited by any app log.	none
six-sigma-step-guide	Six Sigma — A Complete Step-by-Step Guide	unknown	/Users/sid/Documents/Upskill/SixSigma/Six-Sigma-A-Complete-Step-by-Step-Guide (1).pdf	pdf	whole-document	not-yet-cited	clean	unknown	never-ship	Excluded — no identifiable publisher, edition or licensing status; unclear provenance cannot be cited in a standards answer even as a locator.	none
lumafield-coq	The Lumafield Cost of Quality Report	unknown	/Users/sid/Documents/Upskill/SixSigma/TheLumafieldCostofQualityReportpdf.pdf	pdf	whole-document	not-yet-cited	clean	vendor-marketing	never-ship	Excluded — vendor marketing material; citing it in a quality-standards answer would misrepresent it as a standard.	none
asq-cssgb-bok-2014	ASQ Certified Six Sigma Green Belt Body of Knowledge	2014	/Users/sid/Documents/Upskill/SixSigma/_new/ASQ-CSSGB-BoK-2014.pdf	pdf	whole-document	not-yet-cited	clean	licensed-commercial	paraphrase-and-point	Tier 2 — ASQ body-of-knowledge outline is ASQ copyright; gathered but not yet cited by any app log.	none
asq-cssgb-bok-map-2022	ASQ Certified Six Sigma Green Belt Body of Knowledge Map	2022	/Users/sid/Documents/Upskill/SixSigma/_new/ASQ-CSSGB-BoK-Map-2022.pdf	pdf	whole-document	not-yet-cited	clean	licensed-commercial	paraphrase-and-point	Tier 2 — ASQ body-of-knowledge outline is ASQ copyright; gathered but not yet cited by any app log.	none
nist-sematech	NIST/SEMATECH e-Handbook of Statistical Methods	web edition (chapter PDF)	/Users/sid/Documents/Upskill/SixSigma/_new/nist/NIST-1-Exploratory-Data-Analysis.pdf	pdf	ch1-exploratory-data-analysis	not-yet-cited	clean	public-domain	quote	Tier 1 public standard — US government work, public domain; short cited excerpt permitted under the quote cap with section-number locator.	none
nist-sematech	NIST/SEMATECH e-Handbook of Statistical Methods	web edition (chapter PDF)	/Users/sid/Documents/Upskill/SixSigma/_new/nist/NIST-2-Measurement-Process-Characterization.pdf	pdf	ch2-measurement-process-characterization	not-yet-cited	clean	public-domain	quote	Tier 1 public standard — US government work, public domain; short cited excerpt permitted under the quote cap with section-number locator.	none
nist-sematech	NIST/SEMATECH e-Handbook of Statistical Methods	web edition (chapter PDF)	/Users/sid/Documents/Upskill/SixSigma/_new/nist/NIST-5-Process-Improvement-DOE.pdf	pdf	ch5-process-improvement-doe	not-yet-cited	clean	public-domain	quote	Tier 1 public standard — US government work, public domain; short cited excerpt permitted under the quote cap with section-number locator.	none
nist-sematech	NIST/SEMATECH e-Handbook of Statistical Methods	web edition (chapter PDF)	/Users/sid/Documents/Upskill/SixSigma/_new/nist/NIST-6-Process-Monitoring-Control-Charts.pdf	pdf	ch6-process-monitoring-control-charts	cited	clean	public-domain	quote	Tier 1 public standard — US government work, public domain; the SPC log already treats NIST 6.3.2.x / 6.5.2 / 6.1.6 as PRIMARY and quotable.	apps/spc/docs/ASSUMPTIONS_LOG.md
nist-sematech	NIST/SEMATECH e-Handbook of Statistical Methods	web edition (chapter PDF)	/Users/sid/Documents/Upskill/SixSigma/_new/nist/NIST-7-Product-Process-Comparisons.pdf	pdf	ch7-product-process-comparisons	not-yet-cited	clean	public-domain	quote	Tier 1 public standard — US government work, public domain; short cited excerpt permitted under the quote cap with section-number locator.	none
own-statistical-tables	Statistical Tables (Six Sigma Green Belt)	generated 2026-07-27	/Users/sid/Documents/Upskill/SixSigma/_new/statistical-tables.md	md	whole-document	not-yet-cited	clean	project-own-derivation	serve	Tier 3 project's own derivation — computed with scipy by gen_tables.py, not transcribed from any source, so there is no upstream copyright to respect.	none
own-formula-sheet	Six Sigma Green Belt Formula Sheet	generated 2026-07-27	/Users/sid/Documents/Upskill/SixSigma/_new/formulas.md	md	whole-document	not-yet-cited	clean	project-own-derivation	serve	Tier 3 project's own derivation — hand-written formula summary; formulas themselves are not copyrightable subject matter.	none
own-gen-tables	gen_tables.py — statistical table generator	generated 2026-07-27	/Users/sid/Documents/Upskill/SixSigma/_new/gen_tables.py	py	whole-document	not-yet-cited	n/a	project-own-derivation	serve	Tier 3 project's own derivation — source code authored for this project.	none
own-notebooklm-test-set	CSSC Green Belt NotebookLM Evaluation Set	generated 2026-07-27	/Users/sid/Documents/Upskill/SixSigma/_new/notebooklm-test-set.md	md	whole-document	not-yet-cited	clean	project-own-derivation	serve	Tier 3 project's own derivation — high-fidelity mimic questions authored for this project, explicitly not leaked exam items.	none
own-assumptions-logs	Quality Platform per-app ASSUMPTIONS_LOG.md files	repo	in-repo	md	whole-document	cited	clean	project-own-derivation	serve	Tier 3 project's own derivation — this project's engineering prose, already public in the repo.	apps/fmea/docs/ASSUMPTIONS_LOG.md,apps/spc/docs/ASSUMPTIONS_LOG.md,apps/msa/docs/ASSUMPTIONS_LOG.md,apps/controlplan/docs/ASSUMPTIONS_LOG.md,apps/secom/docs/ASSUMPTIONS_LOG.md
own-citation-manifests	Quality Platform per-app CITATIONS.tsv quotation manifests	repo	in-repo	md	whole-document	cited	clean	project-own-derivation	paraphrase-and-point	Manifest prose is this project's own (Tier 3), but the verbatim excerpt column inside these files is upstream-licensed Tier-2 text — so the manifest is served as paraphrase-and-point (cite the standard / point to the manifest), never reproduced wholesale. See the pre-existing exposure note in CORPUS_LEDGER.md.	apps/msa/docs/CITATIONS.tsv,apps/fmea/docs/CITATIONS.tsv
own-corpus-ledger	This corpus ledger (CORPUS_LEDGER.md + CORPUS_LEDGER.tsv)	repo	in-repo	md	whole-document	cited	clean	project-own-derivation	serve	Tier 3 project's own derivation — bibliographic metadata authored for this project.	docs/CORPUS_LEDGER.md
shapiro-wilk-1965	S. S. Shapiro & M. B. Wilk, An analysis of variance test for normality, Biometrika 52(3-4)	1965	not-located	none	whole-document	not-held	n/a	paywalled-journal	N/A	Not held — cited secondarily via NIST/Montgomery only; no local copy, nothing to serve.	apps/spc/docs/ASSUMPTIONS_LOG.md
box-cox-1964	G. E. P. Box & D. R. Cox, An Analysis of Transformations, JRSS Series B 26(2)	1964	not-located	none	whole-document	not-held	n/a	paywalled-journal	N/A	Not held — paywalled primary; NIST 6.5.2 is the quotable stand-in per the SPC log. Nothing to serve.	apps/spc/docs/ASSUMPTIONS_LOG.md
lucas-saccucci-1990	J. M. Lucas & M. S. Saccucci, Technometrics 32(1) — EWMA design	1990	not-located	none	whole-document	not-held	n/a	paywalled-journal	N/A	Not held — reproduced only via Montgomery Table 9.11; no local copy, nothing to serve.	apps/spc/docs/ASSUMPTIONS_LOG.md
lucas-crosier-1982	J. M. Lucas & R. B. Crosier, Technometrics 24(3) — Fast Initial Response for CUSUM	1982	not-located	none	whole-document	not-held	n/a	paywalled-journal	N/A	Not held — reproduced only via Montgomery 9.1.4; no local copy, nothing to serve.	apps/spc/docs/ASSUMPTIONS_LOG.md
bissell-1990	A. F. Bissell, Applied Statistics 39(3):331-340 — Cpk confidence interval variance	1990	not-located	none	whole-document	not-held	n/a	paywalled-journal	N/A	Not held — reproduced only via Montgomery Ch. 8; no local copy, nothing to serve.	apps/spc/docs/ASSUMPTIONS_LOG.md
akaike-1974	H. Akaike, IEEE Transactions on Automatic Control 19(6) — Akaike Information Criterion	1974	not-located	none	whole-document	not-held	n/a	paywalled-journal	N/A	Not held — cited for AIC only; no local copy, nothing to serve.	apps/spc/docs/ASSUMPTIONS_LOG.md
efron-tibshirani-1993	B. Efron & R. J. Tibshirani, An Introduction to the Bootstrap	1993	not-located	none	whole-document	not-held	n/a	licensed-commercial	N/A	Not held — commercial monograph cited for the bootstrap percentile method; no local copy, nothing to serve.	apps/spc/docs/ASSUMPTIONS_LOG.md
iso-22514-2	ISO 22514-2 Statistical methods in process management — Capability and performance — Part 2	current	not-located	none	whole-document	not-held	n/a	public-standard	N/A	Not held — paywalled ISO standard, cited-not-quoted by the SPC log; no local copy, nothing to serve even though its tier would be quote if held.	apps/spc/docs/ASSUMPTIONS_LOG.md
kuhn-johnson-2013	M. Kuhn & K. Johnson, Applied Predictive Modeling	2013	not-located	none	whole-document	not-held	n/a	licensed-commercial	N/A	Not held — cited for caret::nearZeroVar defaults; no local copy, nothing to serve.	apps/secom/docs/ASSUMPTIONS_LOG.md
juran-7th	Juran's Quality Handbook	7th Edition	not-located	none	whole-document	not-held	n/a	licensed-commercial	N/A	Not held — cited for Pareto analysis; no local copy, nothing to serve.	apps/fmea/docs/ASSUMPTIONS_LOG.md
pop-et-al-2026	Pop et al., PFMEA case study (MDPI)	2026	not-located	none	whole-document	not-held	n/a	unknown	N/A	Not held — external paper used as an AP correctness guard, not a standard; no local copy, nothing to serve.	apps/fmea/docs/ASSUMPTIONS_LOG.md
